torch version: 2.0.1
torchvision version: 0.15.2
mlxtend version: 0.23.4
Device is: cpu

[INFO] Data splits already exist under data/era5_data. Skipping split.
Weather train dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7fa516e68550>
Weather val dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7fa516e68580>
Weather test dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7fa516e68790>

Passed Initialization (hidden_size % num_heads == 0)
[INFO] Created SummaryWriter, saving to: runs/stormer_runs/epochs_50_lr_1e-4_hidden_size_306_depth_6_heads_9/2025-06-18--13:41:13
Epoch: 1 | train_loss: 0.6611 | train_acc: 0.6945 | val_loss: 0.5396 | val_acc: 0.7360 | test_loss: 0.5379 | test_acc: 0.7328
Epoch: 2 | train_loss: 0.5888 | train_acc: 0.7325 | val_loss: 0.5261 | val_acc: 0.7344 | test_loss: 0.5281 | test_acc: 0.7307
Epoch: 3 | train_loss: 0.5693 | train_acc: 0.7416 | val_loss: 0.5151 | val_acc: 0.7452 | test_loss: 0.5037 | test_acc: 0.7470
Epoch: 4 | train_loss: 0.5567 | train_acc: 0.7466 | val_loss: 0.5075 | val_acc: 0.7557 | test_loss: 0.5083 | test_acc: 0.7505
Epoch: 5 | train_loss: 0.5503 | train_acc: 0.7467 | val_loss: 0.5095 | val_acc: 0.7534 | test_loss: 0.5025 | test_acc: 0.7489
Epoch: 6 | train_loss: 0.5412 | train_acc: 0.7535 | val_loss: 0.5065 | val_acc: 0.7466 | test_loss: 0.5078 | test_acc: 0.7433
Epoch: 7 | train_loss: 0.5327 | train_acc: 0.7565 | val_loss: 0.4888 | val_acc: 0.7571 | test_loss: 0.4908 | test_acc: 0.7516
Epoch: 8 | train_loss: 0.5277 | train_acc: 0.7556 | val_loss: 0.4958 | val_acc: 0.7502 | test_loss: 0.4868 | test_acc: 0.7548
Epoch: 9 | train_loss: 0.5236 | train_acc: 0.7603 | val_loss: 0.4923 | val_acc: 0.7619 | test_loss: 0.4880 | test_acc: 0.7557
Epoch: 10 | train_loss: 0.5199 | train_acc: 0.7625 | val_loss: 0.5124 | val_acc: 0.7532 | test_loss: 0.5015 | test_acc: 0.7514
Epoch: 11 | train_loss: 0.5183 | train_acc: 0.7621 | val_loss: 0.4843 | val_acc: 0.7654 | test_loss: 0.4809 | test_acc: 0.7642
