torch version: 2.0.1
torchvision version: 0.15.2
mlxtend version: 0.23.4
Device is: cpu

[INFO] Data splits already exist under data/era5_data. Skipping split.
Weather train dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7f1f3ff480a0>
Weather val dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7f1f3ff480d0>
Weather test dataloader: <torch.utils.data.dataloader.DataLoader object at 0x7f1f3ff48190>

Passed Initialization (hidden_size % num_heads == 0)
[INFO] Created SummaryWriter, saving to: runs/stormer_runs/epochs_50_lr_1e-3_hidden_size_306_depth_12_heads_9/2025-06-18--13:38:35
Epoch: 1 | train_loss: 0.6882 | train_acc: 0.6371 | val_loss: 0.6241 | val_acc: 0.6473 | test_loss: 0.6263 | test_acc: 0.6473
Epoch: 2 | train_loss: 0.6514 | train_acc: 0.6603 | val_loss: 0.6053 | val_acc: 0.6668 | test_loss: 0.6083 | test_acc: 0.6643
Epoch: 3 | train_loss: 0.6496 | train_acc: 0.6608 | val_loss: 0.6063 | val_acc: 0.6664 | test_loss: 0.6053 | test_acc: 0.6533
Epoch: 4 | train_loss: 0.6388 | train_acc: 0.6654 | val_loss: 0.6093 | val_acc: 0.6540 | test_loss: 0.6147 | test_acc: 0.6565
Epoch: 5 | train_loss: 0.6333 | train_acc: 0.6662 | val_loss: 0.5942 | val_acc: 0.6618 | test_loss: 0.5913 | test_acc: 0.6622
Epoch: 6 | train_loss: 0.6240 | train_acc: 0.6741 | val_loss: 0.5912 | val_acc: 0.6818 | test_loss: 0.5875 | test_acc: 0.6896
Epoch: 7 | train_loss: 0.6250 | train_acc: 0.6723 | val_loss: 0.6019 | val_acc: 0.6521 | test_loss: 0.6007 | test_acc: 0.6510
Epoch: 8 | train_loss: 0.6203 | train_acc: 0.6737 | val_loss: 0.5851 | val_acc: 0.6808 | test_loss: 0.5876 | test_acc: 0.6765
Epoch: 9 | train_loss: 0.6154 | train_acc: 0.6739 | val_loss: 0.5856 | val_acc: 0.6756 | test_loss: 0.5797 | test_acc: 0.6838
Epoch: 10 | train_loss: 0.6173 | train_acc: 0.6720 | val_loss: 0.5934 | val_acc: 0.6661 | test_loss: 0.5929 | test_acc: 0.6712
Epoch: 11 | train_loss: 0.6312 | train_acc: 0.6597 | val_loss: 0.6339 | val_acc: 0.6521 | test_loss: 0.6188 | test_acc: 0.6592
Epoch: 12 | train_loss: 0.6205 | train_acc: 0.6723 | val_loss: 0.5978 | val_acc: 0.6735 | test_loss: 0.5945 | test_acc: 0.6753
Epoch: 13 | train_loss: 0.6141 | train_acc: 0.6750 | val_loss: 0.5852 | val_acc: 0.6976 | test_loss: 0.5809 | test_acc: 0.6981
Epoch: 14 | train_loss: 0.6034 | train_acc: 0.6914 | val_loss: 0.5796 | val_acc: 0.7015 | test_loss: 0.5794 | test_acc: 0.6937
Epoch: 15 | train_loss: 0.6008 | train_acc: 0.6951 | val_loss: 0.5749 | val_acc: 0.7142 | test_loss: 0.5680 | test_acc: 0.7116
Epoch: 16 | train_loss: 0.5997 | train_acc: 0.6960 | val_loss: 0.5707 | val_acc: 0.7151 | test_loss: 0.5702 | test_acc: 0.7128
Epoch: 17 | train_loss: 0.6028 | train_acc: 0.6911 | val_loss: 0.5819 | val_acc: 0.6866 | test_loss: 0.5799 | test_acc: 0.6891
Epoch: 18 | train_loss: 0.6022 | train_acc: 0.6871 | val_loss: 0.5691 | val_acc: 0.7052 | test_loss: 0.5678 | test_acc: 0.7043
Epoch: 19 | train_loss: 0.5958 | train_acc: 0.6954 | val_loss: 0.5987 | val_acc: 0.6824 | test_loss: 0.6023 | test_acc: 0.6790
Epoch: 20 | train_loss: 0.6108 | train_acc: 0.6765 | val_loss: 0.5733 | val_acc: 0.7043 | test_loss: 0.5707 | test_acc: 0.7047
Epoch: 21 | train_loss: 0.5944 | train_acc: 0.6948 | val_loss: 0.5754 | val_acc: 0.7063 | test_loss: 0.5758 | test_acc: 0.7043
Epoch: 22 | train_loss: 0.5911 | train_acc: 0.7003 | val_loss: 0.6049 | val_acc: 0.6811 | test_loss: 0.6059 | test_acc: 0.6792
Epoch: 23 | train_loss: 0.6174 | train_acc: 0.6674 | val_loss: 0.5918 | val_acc: 0.6875 | test_loss: 0.5913 | test_acc: 0.6870
Epoch: 24 | train_loss: 0.6037 | train_acc: 0.6851 | val_loss: 0.5803 | val_acc: 0.6870 | test_loss: 0.5749 | test_acc: 0.6958
Epoch: 25 | train_loss: 0.6071 | train_acc: 0.6796 | val_loss: 0.5769 | val_acc: 0.6976 | test_loss: 0.5722 | test_acc: 0.6988
Epoch: 26 | train_loss: 0.5950 | train_acc: 0.6933 | val_loss: 0.5685 | val_acc: 0.7027 | test_loss: 0.5670 | test_acc: 0.6960
Epoch: 27 | train_loss: 0.6047 | train_acc: 0.6786 | val_loss: 0.6122 | val_acc: 0.6553 | test_loss: 0.6078 | test_acc: 0.6599
Epoch: 28 | train_loss: 0.5969 | train_acc: 0.6902 | val_loss: 0.6266 | val_acc: 0.6756 | test_loss: 0.6169 | test_acc: 0.6801
Epoch: 29 | train_loss: 0.6083 | train_acc: 0.6725 | val_loss: 0.5840 | val_acc: 0.6744 | test_loss: 0.5834 | test_acc: 0.6756
Epoch: 30 | train_loss: 0.6006 | train_acc: 0.6804 | val_loss: 0.6027 | val_acc: 0.6677 | test_loss: 0.6014 | test_acc: 0.6677
Epoch: 31 | train_loss: 0.5984 | train_acc: 0.6838 | val_loss: 0.5695 | val_acc: 0.7020 | test_loss: 0.5619 | test_acc: 0.6997
Epoch: 32 | train_loss: 0.5894 | train_acc: 0.6930 | val_loss: 0.5674 | val_acc: 0.7102 | test_loss: 0.5649 | test_acc: 0.7027
Epoch: 33 | train_loss: 0.5849 | train_acc: 0.6950 | val_loss: 0.5571 | val_acc: 0.7096 | test_loss: 0.5522 | test_acc: 0.7167
Epoch: 34 | train_loss: 0.5861 | train_acc: 0.6930 | val_loss: 0.5921 | val_acc: 0.6930 | test_loss: 0.5919 | test_acc: 0.6813
Epoch: 35 | train_loss: 0.5903 | train_acc: 0.6883 | val_loss: 0.5642 | val_acc: 0.7119 | test_loss: 0.5659 | test_acc: 0.7116
Epoch: 36 | train_loss: 0.5976 | train_acc: 0.6829 | val_loss: 0.5843 | val_acc: 0.6905 | test_loss: 0.5845 | test_acc: 0.6884
Epoch: 37 | train_loss: 0.5984 | train_acc: 0.6873 | val_loss: 0.5714 | val_acc: 0.7054 | test_loss: 0.5695 | test_acc: 0.7057
Epoch: 38 | train_loss: 0.5990 | train_acc: 0.6842 | val_loss: 0.5770 | val_acc: 0.6951 | test_loss: 0.5761 | test_acc: 0.6988
Epoch: 39 | train_loss: 0.5931 | train_acc: 0.6911 | val_loss: 0.5755 | val_acc: 0.6992 | test_loss: 0.5734 | test_acc: 0.6988
Epoch: 40 | train_loss: 0.5887 | train_acc: 0.6966 | val_loss: 0.5818 | val_acc: 0.6921 | test_loss: 0.5776 | test_acc: 0.6946
Epoch: 41 | train_loss: 0.5900 | train_acc: 0.6915 | val_loss: 0.5647 | val_acc: 0.7054 | test_loss: 0.5651 | test_acc: 0.7038
Epoch: 42 | train_loss: 0.5813 | train_acc: 0.7008 | val_loss: 0.5640 | val_acc: 0.7054 | test_loss: 0.5644 | test_acc: 0.7045
Epoch: 43 | train_loss: 0.5756 | train_acc: 0.7048 | val_loss: 0.5584 | val_acc: 0.7178 | test_loss: 0.5646 | test_acc: 0.7086
Epoch: 44 | train_loss: 0.5703 | train_acc: 0.7106 | val_loss: 0.5603 | val_acc: 0.7144 | test_loss: 0.5560 | test_acc: 0.7112
Epoch: 45 | train_loss: 0.5694 | train_acc: 0.7119 | val_loss: 0.5537 | val_acc: 0.7284 | test_loss: 0.5516 | test_acc: 0.7220
Epoch: 46 | train_loss: 0.5638 | train_acc: 0.7171 | val_loss: 0.5564 | val_acc: 0.7158 | test_loss: 0.5538 | test_acc: 0.7084
Epoch: 47 | train_loss: 0.5621 | train_acc: 0.7155 | val_loss: 0.5449 | val_acc: 0.7293 | test_loss: 0.5412 | test_acc: 0.7256
Epoch: 48 | train_loss: 0.5610 | train_acc: 0.7163 | val_loss: 0.5405 | val_acc: 0.7307 | test_loss: 0.5392 | test_acc: 0.7236
Epoch: 49 | train_loss: 0.5599 | train_acc: 0.7174 | val_loss: 0.5408 | val_acc: 0.7344 | test_loss: 0.5416 | test_acc: 0.7286
Epoch: 50 | train_loss: 0.5517 | train_acc: 0.7258 | val_loss: 0.5630 | val_acc: 0.7213 | test_loss: 0.5636 | test_acc: 0.7183
[INFO] Saving model to: /var/scratch/ase347/DeepSummit/checkpoints/stormer_epochs_50_lr_1e-3_hidden_size_306_depth_12_heads_9.pth
